Rank	Query#	Scores	Document#	Snippet of text#	Valid ranks count
1	1	0.29	51	theory of aircraft structural models subjected to aerodynamic heating and external loads	783
2	1	0.21	359	note on the hypersonic similarity law for an unyawed cone	783
3	1	0.2	746	aeroelastic problems in connection with high speed flight	783
4	1	0.19	12	some structural and aerelastic considerations of high speed flight	783
5	1	0.18	56	an analysis of the applicability of the hypersonic similarity law to the study of the flow about bodies of revolution at zero angle of attack	783
6	1	0.17	944	one dimensional heat conduction through the skin of a vehicle upon entering a planetary atmosphere at constant velocity and entry angle	783
7	1	0.16	879	flutter model testing at transonic speeds	783
8	1	0.16	878	experimental model techniques and equipment for flutter investigations	783
9	1	0.16	13	similarity laws for stressing heated wings	783
10	1	0.15	1186	lift of slender delta wings according to newtonian theory	783
*********************************************************************************
1	2	0.47	12	some structural and aerelastic considerations of high speed flight	718
2	2	0.36	51	theory of aircraft structural models subjected to aerodynamic heating and external loads	718
3	2	0.34	746	aeroelastic problems in connection with high speed flight	718
4	2	0.24	884	the estimation of fatigue damage on structural elements	718
5	2	0.23	1169	hangling qualities experience with several vtol research aircraft	718
6	2	0.21	253	on the ground level disturbance from large aircraft flying at supersonic speeds	718
7	2	0.19	100	vibration isolation of aircraft power plants	718
8	2	0.19	875	models for aeroelastic investigation	718
9	2	0.19	14	piston theory a new aerodynamic tool for the aeroelastician	718
10	2	0.18	1361	large deflections of structures subjected to heating and external loads	718
*********************************************************************************
1	4	0.66	485	linear heat flow in a composite slab	630
2	4	0.51	5	onedimensional transient heat conduction into a doublelayer slab subjected to a linear heat input for a small time internal	630
3	4	0.42	90	periodic temperature distributions in a twolayer composite slab	630
4	4	0.41	144	heat flow in composite slabs	630
5	4	0.37	91	periodic temperature distribution in a twolayer composite slab	630
6	4	0.34	399	conduction of heat in composite slabs	630
7	4	0.33	582	the melting of finite slabs	630
8	4	0.26	181	some problems on heat conduction in stratiform bodies	630
9	4	0.23	6	onedimensional transient heat flow in a multilayer slab	630
10	4	0.18	579	further developments of new methods in heat flow analysis	630
*********************************************************************************
1	8	0.25	166	flow of chemically reacting gas mixtures	1140
2	8	0.23	1275	flow about an unsteadily rotating disc	1140
3	8	0.23	488	a reactionrate parameter for gasdynamics of a chemically reacting gas mixture	1140
4	8	0.18	1189	nonequilibrium flow past a wedge	1140
5	8	0.18	167	linearized flow of a dissociating gas	1140
6	8	0.18	1061	turbulent mixing of a rocket exhaust jet with a supersonic stream including chemical reactions	1140
7	8	0.16	38	on the prediction of mixed subsonicsupersonic pressure distributions	1140
8	8	0.16	410	the supersonic flow about a blunt body of revolution for gases at chemical equilibrium	1140
9	8	0.16	185	some possibilities of using gas mixtures other than in aerodynamic research	1140
10	8	0.15	1085	note on the convergence of numerical solutions of the navierstokes equations	1140
*********************************************************************************
1	9	0.26	103	theory of mixing and chemical reaction in the opposed jet diffusion flame	717
2	9	0.21	1032	on the conservativeness of various distributed force systems	717
3	9	0.21	410	the supersonic flow about a blunt body of revolution for gases at chemical equilibrium	717
4	9	0.18	943	compressible free shear layer with finite initial thickness	717
5	9	0.17	552	chemical kinetics of high temperature air	717
6	9	0.16	401	inviscid hypersonic airflows with coupled nonequilibrium processes	717
7	9	0.15	1374	theoretical analysis of turbulent mixing of reactive gases with application to supersonic combustion of hydrogen	717
8	9	0.14	368	some problems of polar missile control	717
9	9	0.14	367	control system and analysis and design via the second method of lyapunov	717
10	9	0.13	1061	turbulent mixing of a rocket exhaust jet with a supersonic stream including chemical reactions	717
*********************************************************************************
1	10	0.27	491	on the close relationship between turbulent planecouette and pressure flows	966
2	10	0.23	386	a generalised porouswall couette type flow	966
3	10	0.18	385	on a generalised porouswall couette type flow	966
4	10	0.17	1273	magnetohydrodynamic effects on the formation of couette flow	966
5	10	0.16	1282	compressible flatplate boundarylayer flow with an applied magnetic field	966
6	10	0.16	883	correlated fatigue data for aircraft structural joints	966
7	10	0.15	257	on turbulen flow between parallel plates	966
8	10	0.15	99	the fundamentals of the statistical theory of turbulence	966
9	10	0.14	406	on the behaviour of boundary layers at supersonic speeds	966
10	10	0.13	151	the generation of noise by isotropic turbulence	966
